Date,Time,Level,Entry
2025-10-23,13:17:24,INFO,Logger initialized and ready.
2025-10-23,13:17:27,INPUT,User_Input_MenuChoice: 1
2025-10-23,13:17:27,INFO,Monitoring process started.
2025-10-23,13:17:28,STATUS,CPU: 25.7%, RAM: 71.7%
2025-10-23,13:17:35,STATUS,CPU: 5.5%, RAM: 71.5%
2025-10-23,13:17:39,INPUT,User_Input_MenuChoice: 2
2025-10-23,13:17:42,STATUS,CPU: 8.2%, RAM: 71.7%
2025-10-23,13:17:46,INPUT,User_Input_MenuChoice: 5
2025-10-23,13:17:49,STATUS,CPU: 4.3%, RAM: 71.8%
2025-10-23,13:17:56,STATUS,CPU: 5.0%, RAM: 71.7%
2025-10-23,13:18:00,INFO,Alarm removed: CPU > 90.0%
2025-10-23,13:18:03,STATUS,CPU: 10.3%, RAM: 71.8%
2025-10-23,13:18:03,INPUT,User_Input_MenuChoice: 2
2025-10-23,13:18:10,STATUS,CPU: 5.0%, RAM: 71.9%
2025-10-23,13:18:17,STATUS,CPU: 3.7%, RAM: 71.9%
2025-10-23,13:18:24,STATUS,CPU: 21.4%, RAM: 72.5%
2025-10-23,13:18:31,STATUS,CPU: 13.2%, RAM: 69.1%
2025-10-23,13:18:38,STATUS,CPU: 7.7%, RAM: 68.4%
2025-10-23,13:18:45,STATUS,CPU: 16.2%, RAM: 68.0%
2025-10-23,13:18:52,STATUS,CPU: 17.4%, RAM: 68.1%
2025-10-23,13:18:59,STATUS,CPU: 13.3%, RAM: 68.6%
2025-10-23,13:19:06,STATUS,CPU: 30.5%, RAM: 68.7%
2025-10-23,13:19:13,STATUS,CPU: 70.9%, RAM: 71.3%
2025-10-23,13:19:15,INPUT,User_Input_MenuChoice: 1
2025-10-23,13:19:20,STATUS,CPU: 53.5%, RAM: 72.1%
2025-10-23,13:19:21,INPUT,User_Input_MenuChoice: 2
2025-10-23,13:19:27,STATUS,CPU: 52.6%, RAM: 72.2%
2025-10-23,13:19:34,STATUS,CPU: 56.7%, RAM: 72.1%
2025-10-23,13:19:34,INPUT,User_Input_MenuChoice: 3
2025-10-23,13:19:41,STATUS,CPU: 29.0%, RAM: 71.8%
2025-10-23,13:19:48,STATUS,CPU: 20.0%, RAM: 71.8%
2025-10-23,13:19:55,STATUS,CPU: 23.9%, RAM: 72.3%
2025-10-23,13:20:02,STATUS,CPU: 34.0%, RAM: 72.0%
2025-10-23,13:20:09,STATUS,CPU: 40.5%, RAM: 72.3%
2025-10-23,13:20:16,STATUS,CPU: 4.2%, RAM: 72.3%
2025-10-23,13:20:23,STATUS,CPU: 4.7%, RAM: 72.4%
2025-10-23,13:20:30,STATUS,CPU: 17.5%, RAM: 73.0%
2025-10-23,13:20:37,STATUS,CPU: 12.8%, RAM: 73.0%
2025-10-23,13:20:42,INFO,Alarm created: RAM < 10.0% | Waarning! Data Deletion process
2025-10-23,13:20:44,STATUS,CPU: 10.2%, RAM: 73.0%
2025-10-23,13:20:51,STATUS,CPU: 4.8%, RAM: 72.8%
2025-10-23,13:20:54,INPUT,User_Input_MenuChoice: 4
2025-10-23,13:20:58,STATUS,CPU: 5.2%, RAM: 72.8%
2025-10-23,13:21:05,INPUT,User_Input_MenuChoice: 3
2025-10-23,13:21:05,STATUS,CPU: 17.2%, RAM: 72.9%
2025-10-23,13:21:12,STATUS,CPU: 3.7%, RAM: 72.9%
2025-10-23,13:21:19,STATUS,CPU: 5.5%, RAM: 73.1%
2025-10-23,13:21:26,STATUS,CPU: 6.7%, RAM: 73.3%
2025-10-23,13:21:33,STATUS,CPU: 14.6%, RAM: 73.2%
2025-10-23,13:21:40,STATUS,CPU: 10.0%, RAM: 74.6%
2025-10-23,13:21:47,STATUS,CPU: 3.3%, RAM: 74.0%
2025-10-23,13:21:54,STATUS,CPU: 17.5%, RAM: 74.2%
2025-10-23,13:22:01,STATUS,CPU: 5.5%, RAM: 74.1%
2025-10-23,13:22:08,STATUS,CPU: 27.4%, RAM: 74.3%
2025-10-23,13:22:15,STATUS,CPU: 6.5%, RAM: 75.1%
2025-10-23,13:22:22,STATUS,CPU: 12.8%, RAM: 75.5%
2025-10-23,13:22:29,STATUS,CPU: 22.6%, RAM: 74.5%
2025-10-23,13:22:36,STATUS,CPU: 9.2%, RAM: 74.5%
2025-10-23,13:22:43,STATUS,CPU: 10.8%, RAM: 70.9%
2025-10-23,13:22:50,STATUS,CPU: 13.2%, RAM: 71.3%
2025-10-23,13:22:57,STATUS,CPU: 10.1%, RAM: 71.2%
2025-10-23,13:23:04,STATUS,CPU: 9.5%, RAM: 71.1%
2025-10-23,13:23:11,STATUS,CPU: 14.7%, RAM: 71.1%
2025-10-23,13:23:18,STATUS,CPU: 13.5%, RAM: 71.2%
2025-10-23,13:23:25,STATUS,CPU: 25.0%, RAM: 71.3%
2025-10-23,13:23:32,STATUS,CPU: 13.9%, RAM: 71.8%
2025-10-23,13:23:39,STATUS,CPU: 31.4%, RAM: 72.2%
2025-10-23,13:23:46,STATUS,CPU: 42.4%, RAM: 73.0%
2025-10-23,13:23:53,STATUS,CPU: 7.7%, RAM: 73.0%
2025-10-23,13:24:00,STATUS,CPU: 16.7%, RAM: 72.7%
