2025-10-23,17:00:43,INFO,AlarmManager initialized.
2025-10-23,17:00:43,INFO,Logger initialized and ready.
2025-10-23,17:01:08,INPUT,User_Input_MenuChoice: 1
2025-10-23,17:01:08,INFO,Monitoring thread started.
2025-10-23,17:01:09,MONITOR,CPU Usage: 6.2%, RAM Usage: 75.8%
2025-10-23,17:01:15,MONITOR,CPU Usage: 6.7%, RAM Usage: 74.5%
2025-10-23,17:01:21,MONITOR,CPU Usage: 41.1%, RAM Usage: 75.6%
2025-10-23,17:01:27,MONITOR,CPU Usage: 8.0%, RAM Usage: 75.7%
2025-10-23,17:01:33,MONITOR,CPU Usage: 12.0%, RAM Usage: 71.3%
2025-10-23,17:01:39,MONITOR,CPU Usage: 9.5%, RAM Usage: 71.7%
2025-10-23,17:01:45,MONITOR,CPU Usage: 6.7%, RAM Usage: 71.8%
2025-10-23,17:01:51,MONITOR,CPU Usage: 6.3%, RAM Usage: 72.5%
2025-10-23,17:01:57,MONITOR,CPU Usage: 25.4%, RAM Usage: 74.1%
2025-10-23,17:02:03,MONITOR,CPU Usage: 12.0%, RAM Usage: 73.6%
2025-10-23,17:02:09,MONITOR,CPU Usage: 6.3%, RAM Usage: 73.4%
2025-10-23,17:02:15,MONITOR,CPU Usage: 11.3%, RAM Usage: 73.8%
2025-10-23,17:02:21,MONITOR,CPU Usage: 11.0%, RAM Usage: 73.2%
2025-10-23,17:02:27,MONITOR,CPU Usage: 25.9%, RAM Usage: 74.2%
2025-10-23,17:02:33,MONITOR,CPU Usage: 34.7%, RAM Usage: 74.8%
2025-10-23,17:02:39,MONITOR,CPU Usage: 16.3%, RAM Usage: 74.5%
2025-10-23,17:02:45,MONITOR,CPU Usage: 20.6%, RAM Usage: 73.7%
2025-10-23,17:02:51,MONITOR,CPU Usage: 5.3%, RAM Usage: 73.8%
2025-10-23,17:02:57,MONITOR,CPU Usage: 4.0%, RAM Usage: 73.7%
2025-10-23,17:03:03,MONITOR,CPU Usage: 3.5%, RAM Usage: 73.7%
2025-10-23,17:03:09,MONITOR,CPU Usage: 9.5%, RAM Usage: 73.6%
