2025-10-23,20:45:14,INFO,Attempting to load alarms from disk.
2025-10-23,20:45:14,INFO,No alarms.json file found. Starting with empty configuration.
2025-10-23,20:45:14,INFO,Logger initialized and ready.
2025-10-23,20:45:26,INPUT,User_Input_MenuChoice: 1
2025-10-23,20:45:26,INFO,Monitoring thread started.
2025-10-23,20:45:27,MONITOR,CPU Usage: 18.5%, RAM Usage: 72.3%
2025-10-23,20:45:32,INPUT,User_Input_MenuChoice: 2
2025-10-23,20:45:33,MONITOR,CPU Usage: 15.3%, RAM Usage: 73.0%
2025-10-23,20:45:39,MONITOR,CPU Usage: 15.2%, RAM Usage: 73.2%
2025-10-23,20:45:42,INPUT,User_Input_MenuChoice: 3
2025-10-23,20:45:45,MONITOR,CPU Usage: 9.2%, RAM Usage: 72.2%
2025-10-23,20:45:48,INPUT,User_Input_AlarmType: 1
2025-10-23,20:45:51,MONITOR,CPU Usage: 6.0%, RAM Usage: 72.3%
2025-10-23,20:45:57,MONITOR,CPU Usage: 8.0%, RAM Usage: 72.4%
2025-10-23,20:45:58,INPUT,User_Input_Threshold: 90
2025-10-23,20:46:03,MONITOR,CPU Usage: 11.5%, RAM Usage: 73.0%
2025-10-23,20:46:09,MONITOR,CPU Usage: 10.0%, RAM Usage: 73.2%
2025-10-23,20:46:15,MONITOR,CPU Usage: 8.0%, RAM Usage: 72.8%
2025-10-23,20:46:21,MONITOR,CPU Usage: 10.0%, RAM Usage: 72.6%
2025-10-23,20:46:27,MONITOR,CPU Usage: 4.5%, RAM Usage: 73.2%
2025-10-23,20:46:33,MONITOR,CPU Usage: 16.3%, RAM Usage: 73.2%
2025-10-23,20:46:39,MONITOR,CPU Usage: 10.1%, RAM Usage: 72.8%
2025-10-23,20:46:45,MONITOR,CPU Usage: 30.5%, RAM Usage: 70.7%
2025-10-23,20:46:51,MONITOR,CPU Usage: 6.8%, RAM Usage: 71.5%
2025-10-23,20:46:57,MONITOR,CPU Usage: 11.5%, RAM Usage: 72.4%
2025-10-23,20:46:58,INPUT,User_Input_AlarmName: Your CPU is close to very high level of usage
2025-10-23,20:46:58,INFO,Alarms successfully saved to disk.
2025-10-23,20:46:58,ALARM_CONFIG,Alarm created: ID 1: Your CPU is close to very high level of usage (CPU > 90%) [Triggered: False]
2025-10-23,20:47:03,MONITOR,CPU Usage: 11.3%, RAM Usage: 72.8%
2025-10-23,20:47:09,MONITOR,CPU Usage: 16.2%, RAM Usage: 73.6%
2025-10-23,20:47:11,INPUT,User_Input_AlarmType: 2
2025-10-23,20:47:14,INPUT,User_Input_Threshold: 95
2025-10-23,20:47:15,MONITOR,CPU Usage: 10.8%, RAM Usage: 71.4%
2025-10-23,20:47:15,ALARM,!!! ALARM TRIGGERED !!! ID 1: Your CPU is close to very high level of usage (CPU is 100.0%, Threshold: 90%)
2025-10-23,20:47:21,MONITOR,CPU Usage: 12.7%, RAM Usage: 71.7%
2025-10-23,20:47:21,ALARM,--- ALARM RECOVERED --- ID 1: Your CPU is close to very high level of usage (CPU recovered to 0.0%)
2025-10-23,20:47:27,MONITOR,CPU Usage: 4.5%, RAM Usage: 72.0%
2025-10-23,20:47:33,MONITOR,CPU Usage: 12.2%, RAM Usage: 73.2%
2025-10-23,20:47:39,MONITOR,CPU Usage: 8.3%, RAM Usage: 73.4%
2025-10-23,20:47:45,MONITOR,CPU Usage: 11.5%, RAM Usage: 72.1%
2025-10-23,20:47:48,INPUT,User_Input_AlarmName: Your RAM is excceding to the max level
2025-10-23,20:47:48,INFO,Alarms successfully saved to disk.
2025-10-23,20:47:48,ALARM_CONFIG,Alarm created: ID 2: Your RAM is excceding to the max level (RAM > 95%) [Triggered: False]
2025-10-23,20:47:51,MONITOR,CPU Usage: 7.5%, RAM Usage: 72.1%
2025-10-23,20:47:57,MONITOR,CPU Usage: 10.3%, RAM Usage: 72.3%
2025-10-23,20:47:59,INPUT,User_Input_MenuChoice: 4
2025-10-23,20:48:03,MONITOR,CPU Usage: 12.3%, RAM Usage: 72.6%
2025-10-23,20:48:09,MONITOR,CPU Usage: 29.2%, RAM Usage: 73.1%
2025-10-23,20:48:14,INPUT,User_Input_MenuChoice: 5
2025-10-23,20:48:15,MONITOR,CPU Usage: 53.5%, RAM Usage: 74.0%
2025-10-23,20:48:20,INPUT,User_Input_RemoveID: 1
2025-10-23,20:48:20,ALARM_CONFIG,Alarm removed: Your CPU is close to very high level of usage
2025-10-23,20:48:20,INFO,Alarms successfully saved to disk.
2025-10-23,20:48:21,MONITOR,CPU Usage: 8.0%, RAM Usage: 75.1%
2025-10-23,20:48:25,INPUT,User_Input_MenuChoice: 2
2025-10-23,20:48:27,MONITOR,CPU Usage: 5.7%, RAM Usage: 75.3%
2025-10-23,20:48:33,INPUT,User_Input_MenuChoice: 5
2025-10-23,20:48:33,MONITOR,CPU Usage: 17.3%, RAM Usage: 76.4%
2025-10-23,20:48:37,INPUT,User_Input_RemoveID: 2
2025-10-23,20:48:37,ALARM_CONFIG,Alarm removed: Your RAM is excceding to the max level
2025-10-23,20:48:37,INFO,Alarms successfully saved to disk.
2025-10-23,20:48:39,MONITOR,CPU Usage: 8.7%, RAM Usage: 75.7%
2025-10-23,20:48:41,INPUT,User_Input_MenuChoice: 2
2025-10-23,20:48:45,MONITOR,CPU Usage: 10.2%, RAM Usage: 74.3%
2025-10-23,20:48:51,MONITOR,CPU Usage: 6.0%, RAM Usage: 74.4%
2025-10-23,20:48:57,MONITOR,CPU Usage: 6.8%, RAM Usage: 74.5%
2025-10-23,20:48:57,INPUT,User_Input_MenuChoice: 6
2025-10-23,20:49:03,MONITOR,CPU Usage: 13.6%, RAM Usage: 75.6%
2025-10-23,20:49:05,INPUT,User_Input_LogLines: 10
2025-10-23,20:49:09,MONITOR,CPU Usage: 7.0%, RAM Usage: 73.2%
2025-10-23,20:49:15,MONITOR,CPU Usage: 23.7%, RAM Usage: 74.1%
2025-10-23,20:49:21,MONITOR,CPU Usage: 31.2%, RAM Usage: 73.3%
2025-10-23,20:49:27,MONITOR,CPU Usage: 5.8%, RAM Usage: 73.8%
2025-10-23,20:49:32,INPUT,User_Input_MenuChoice: 1000
2025-10-23,20:49:33,MONITOR,CPU Usage: 26.7%, RAM Usage: 75.3%
2025-10-23,20:49:37,INPUT,User_Input_MenuChoice: 100
2025-10-23,20:49:39,MONITOR,CPU Usage: 7.2%, RAM Usage: 76.0%
2025-10-23,20:49:42,INPUT,User_Input_MenuChoice: 90
2025-10-23,20:49:45,MONITOR,CPU Usage: 15.4%, RAM Usage: 75.7%
2025-10-23,20:49:51,MONITOR,CPU Usage: 7.1%, RAM Usage: 74.6%
