2025-10-23,22:13:21,INFO,Attempting to load alarms from disk.
2025-10-23,22:13:21,INFO,Successfully loaded 0 alarms from disk.
2025-10-23,22:13:21,INFO,Logger initialized and ready.
2025-10-23,22:13:24,INPUT,User_Input_MenuChoice: 1
2025-10-23,22:13:24,INFO,Monitoring thread started.
2025-10-23,22:13:25,MONITOR,CPU Usage: 6.0%, RAM Usage: 72.1%
2025-10-23,22:13:29,INPUT,User_Input_MenuChoice: 2
2025-10-23,22:13:31,MONITOR,CPU Usage: 6.0%, RAM Usage: 72.4%
2025-10-23,22:13:34,INPUT,User_Input_MenuChoice: 3
2025-10-23,22:13:36,INPUT,User_Input_AlarmType: 1
2025-10-23,22:13:37,MONITOR,CPU Usage: 4.7%, RAM Usage: 72.7%
2025-10-23,22:13:41,INPUT,User_Input_Threshold: 90
2025-10-23,22:13:43,MONITOR,CPU Usage: 12.7%, RAM Usage: 72.8%
2025-10-23,22:13:49,MONITOR,CPU Usage: 12.6%, RAM Usage: 73.0%
2025-10-23,22:13:55,MONITOR,CPU Usage: 38.2%, RAM Usage: 75.7%
2025-10-23,22:14:01,MONITOR,CPU Usage: 16.3%, RAM Usage: 76.7%
2025-10-23,22:14:07,MONITOR,CPU Usage: 11.7%, RAM Usage: 72.8%
2025-10-23,22:14:13,MONITOR,CPU Usage: 27.2%, RAM Usage: 75.4%
2025-10-23,22:14:19,MONITOR,CPU Usage: 8.0%, RAM Usage: 76.8%
2025-10-23,22:14:25,MONITOR,CPU Usage: 20.6%, RAM Usage: 77.3%
2025-10-23,22:14:31,MONITOR,CPU Usage: 11.2%, RAM Usage: 77.5%
2025-10-23,22:14:37,MONITOR,CPU Usage: 4.7%, RAM Usage: 77.6%
2025-10-23,22:14:43,MONITOR,CPU Usage: 11.2%, RAM Usage: 77.0%
2025-10-23,22:14:49,MONITOR,CPU Usage: 5.7%, RAM Usage: 77.2%
2025-10-23,22:14:55,MONITOR,CPU Usage: 23.4%, RAM Usage: 77.6%
2025-10-23,22:14:58,INPUT,User_Input_AlarmName: WARNING!!! CPU usage is in very high level.
2025-10-23,22:14:58,INFO,Alarms successfully saved to disk.
2025-10-23,22:14:58,ALARM_CONFIG,Alarm created: ID 1: WARNING!!! CPU usage is in very high level. (CPU > 90%) [Triggered: False]
2025-10-23,22:15:01,MONITOR,CPU Usage: 7.5%, RAM Usage: 73.9%
2025-10-23,22:15:07,MONITOR,CPU Usage: 16.2%, RAM Usage: 75.3%
2025-10-23,22:15:07,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:15:13,MONITOR,CPU Usage: 5.5%, RAM Usage: 75.7%
2025-10-23,22:15:13,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:15:19,MONITOR,CPU Usage: 10.5%, RAM Usage: 76.0%
2025-10-23,22:15:25,MONITOR,CPU Usage: 18.0%, RAM Usage: 75.3%
2025-10-23,22:15:31,MONITOR,CPU Usage: 7.8%, RAM Usage: 75.6%
2025-10-23,22:15:37,MONITOR,CPU Usage: 23.6%, RAM Usage: 75.8%
2025-10-23,22:15:43,MONITOR,CPU Usage: 48.9%, RAM Usage: 76.6%
2025-10-23,22:15:49,MONITOR,CPU Usage: 13.7%, RAM Usage: 75.0%
2025-10-23,22:15:55,MONITOR,CPU Usage: 18.2%, RAM Usage: 74.8%
2025-10-23,22:16:01,MONITOR,CPU Usage: 41.1%, RAM Usage: 75.5%
2025-10-23,22:16:07,MONITOR,CPU Usage: 48.9%, RAM Usage: 74.4%
2025-10-23,22:16:13,MONITOR,CPU Usage: 53.4%, RAM Usage: 73.4%
2025-10-23,22:16:19,MONITOR,CPU Usage: 45.8%, RAM Usage: 72.8%
2025-10-23,22:16:19,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:16:25,MONITOR,CPU Usage: 34.2%, RAM Usage: 72.1%
2025-10-23,22:16:25,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:16:31,MONITOR,CPU Usage: 52.1%, RAM Usage: 72.5%
2025-10-23,22:16:37,MONITOR,CPU Usage: 61.6%, RAM Usage: 71.2%
2025-10-23,22:16:43,MONITOR,CPU Usage: 59.2%, RAM Usage: 72.6%
2025-10-23,22:16:49,MONITOR,CPU Usage: 60.2%, RAM Usage: 71.3%
2025-10-23,22:16:55,MONITOR,CPU Usage: 29.6%, RAM Usage: 72.6%
2025-10-23,22:17:01,MONITOR,CPU Usage: 5.0%, RAM Usage: 72.8%
2025-10-23,22:17:07,MONITOR,CPU Usage: 61.7%, RAM Usage: 73.5%
2025-10-23,22:17:13,MONITOR,CPU Usage: 38.6%, RAM Usage: 74.2%
2025-10-23,22:17:19,MONITOR,CPU Usage: 25.4%, RAM Usage: 74.3%
2025-10-23,22:17:26,MONITOR,CPU Usage: 13.3%, RAM Usage: 75.3%
2025-10-23,22:17:32,MONITOR,CPU Usage: 53.5%, RAM Usage: 77.1%
2025-10-23,22:17:38,MONITOR,CPU Usage: 37.2%, RAM Usage: 73.6%
2025-10-23,22:17:44,MONITOR,CPU Usage: 27.8%, RAM Usage: 73.5%
2025-10-23,22:17:50,MONITOR,CPU Usage: 40.1%, RAM Usage: 75.9%
2025-10-23,22:17:56,MONITOR,CPU Usage: 48.0%, RAM Usage: 75.2%
2025-10-23,22:18:02,MONITOR,CPU Usage: 43.8%, RAM Usage: 76.5%
2025-10-23,22:18:08,MONITOR,CPU Usage: 29.0%, RAM Usage: 76.7%
2025-10-23,22:18:14,MONITOR,CPU Usage: 42.9%, RAM Usage: 76.9%
2025-10-23,22:18:20,MONITOR,CPU Usage: 45.4%, RAM Usage: 76.5%
2025-10-23,22:18:26,MONITOR,CPU Usage: 20.4%, RAM Usage: 76.3%
2025-10-23,22:18:26,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:18:32,MONITOR,CPU Usage: 9.8%, RAM Usage: 76.7%
2025-10-23,22:18:32,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:18:38,MONITOR,CPU Usage: 6.5%, RAM Usage: 76.7%
2025-10-23,22:18:44,MONITOR,CPU Usage: 18.8%, RAM Usage: 76.4%
2025-10-23,22:18:50,MONITOR,CPU Usage: 7.3%, RAM Usage: 76.6%
2025-10-23,22:18:56,MONITOR,CPU Usage: 5.0%, RAM Usage: 76.4%
2025-10-23,22:19:02,MONITOR,CPU Usage: 6.0%, RAM Usage: 76.6%
2025-10-23,22:19:08,MONITOR,CPU Usage: 12.5%, RAM Usage: 76.7%
2025-10-23,22:19:14,MONITOR,CPU Usage: 43.6%, RAM Usage: 76.8%
2025-10-23,22:19:14,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:19:20,MONITOR,CPU Usage: 15.8%, RAM Usage: 77.1%
2025-10-23,22:19:20,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:19:26,MONITOR,CPU Usage: 9.0%, RAM Usage: 76.2%
2025-10-23,22:19:32,MONITOR,CPU Usage: 15.5%, RAM Usage: 76.3%
2025-10-23,22:19:38,MONITOR,CPU Usage: 13.1%, RAM Usage: 76.3%
2025-10-23,22:19:44,MONITOR,CPU Usage: 18.9%, RAM Usage: 77.0%
2025-10-23,22:19:50,MONITOR,CPU Usage: 45.1%, RAM Usage: 76.8%
2025-10-23,22:19:56,MONITOR,CPU Usage: 39.5%, RAM Usage: 77.1%
2025-10-23,22:20:02,MONITOR,CPU Usage: 44.6%, RAM Usage: 77.7%
2025-10-23,22:20:08,MONITOR,CPU Usage: 13.2%, RAM Usage: 77.8%
2025-10-23,22:20:14,MONITOR,CPU Usage: 9.1%, RAM Usage: 76.5%
2025-10-23,22:20:20,MONITOR,CPU Usage: 16.8%, RAM Usage: 76.7%
2025-10-23,22:20:20,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:20:26,MONITOR,CPU Usage: 16.0%, RAM Usage: 76.6%
2025-10-23,22:20:32,MONITOR,CPU Usage: 11.0%, RAM Usage: 76.8%
2025-10-23,22:20:32,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:20:38,MONITOR,CPU Usage: 4.7%, RAM Usage: 76.9%
2025-10-23,22:20:44,MONITOR,CPU Usage: 8.3%, RAM Usage: 77.2%
2025-10-23,22:20:50,MONITOR,CPU Usage: 19.1%, RAM Usage: 76.9%
2025-10-23,22:20:56,MONITOR,CPU Usage: 15.4%, RAM Usage: 77.2%
2025-10-23,22:21:02,MONITOR,CPU Usage: 3.8%, RAM Usage: 76.8%
2025-10-23,22:21:08,MONITOR,CPU Usage: 18.8%, RAM Usage: 77.1%
2025-10-23,22:21:14,MONITOR,CPU Usage: 8.0%, RAM Usage: 77.2%
2025-10-23,22:21:20,MONITOR,CPU Usage: 16.7%, RAM Usage: 76.8%
